date;song;artist;idk;link
October 3, 2024 at 05:19PM;Good Riddance (Time of Your Life);Green Day;6ORqU0bHbVCRjXm9AjyHyZ;https://open.spotify.com/track/6ORqU0bHbVCRjXm9AjyHyZ
October 3, 2024 at 05:24PM;Stick Season;Noah Kahan;0mflMxspEfB0VbI1kyLiAv;https://open.spotify.com/track/0mflMxspEfB0VbI1kyLiAv
October 3, 2024 at 05:28PM;50 Ways to Leave Your Lover;Paul Simon;6Qb7gtV6Q4MnUjSbkFcopl;https://open.spotify.com/track/6Qb7gtV6Q4MnUjSbkFcopl
October 3, 2024 at 05:30PM;Jolene;Dolly Parton;5fdhThPDe6jQQDqCyWrdAn;https://open.spotify.com/track/5fdhThPDe6jQQDqCyWrdAn
October 3, 2024 at 05:35PM;Rhiannon;Fleetwood Mac;05oETzWbd4SI33qK2gbJfR;https://open.spotify.com/track/05oETzWbd4SI33qK2gbJfR
October 3, 2024 at 05:44PM;Biohacking My Technology;Ferris Pier;6HJwPugn9QStgfhikxQ1d9;https://open.spotify.com/track/6HJwPugn9QStgfhikxQ1d9
October 3, 2024 at 05:49PM;Blackbird - Remastered 2009;The Beatles;5jgFfDIR6FR0gvlA56Nakr;https://open.spotify.com/track/5jgFfDIR6FR0gvlA56Nakr
October 3, 2024 at 05:49PM;Biohacking My Technology;Ferris Pier;6HJwPugn9QStgfhikxQ1d9;https://open.spotify.com/track/6HJwPugn9QStgfhikxQ1d9
October 3, 2024 at 05:52PM;Biohacking My Technology;Ferris Pier;6HJwPugn9QStgfhikxQ1d9;https://open.spotify.com/track/6HJwPugn9QStgfhikxQ1d9
October 3, 2024 at 08:23PM;Touch Me;The Doors;4BVE5tIIpYabZcYCbephNW;https://open.spotify.com/track/4BVE5tIIpYabZcYCbephNW
October 3, 2024 at 08:57PM;Last Night on Earth;Green Day;5TpPSTItCwtZ8Sltr3vdzm;https://open.spotify.com/track/5TpPSTItCwtZ8Sltr3vdzm
October 3, 2024 at 09:00PM;Fall for You;Secondhand Serenade;2fywBLXK9GQi8YR8C8d3c4;https://open.spotify.com/track/2fywBLXK9GQi8YR8C8d3c4
October 4, 2024 at 04:17PM;The Only Exception;Paramore;7JIuqL4ZqkpfGKQhYlrirs;https://open.spotify.com/track/7JIuqL4ZqkpfGKQhYlrirs
October 5, 2024 at 03:00PM;Lonely Town, Lonely Street;Bill Withers;3oiVJNFAQQ77Yp3rXWGsVp;https://open.spotify.com/track/3oiVJNFAQQ77Yp3rXWGsVp
October 5, 2024 at 03:03PM;Let Me in Your Life;Bill Withers;7iGLv3XwCMt2iOcF8N6F2P;https://open.spotify.com/track/7iGLv3XwCMt2iOcF8N6F2P
October 5, 2024 at 03:06PM;Who Is He (And What Is He to You)?;Bill Withers;1KywyxekfDEp3Ym7YP7S25;https://open.spotify.com/track/1KywyxekfDEp3Ym7YP7S25
October 5, 2024 at 03:10PM;Use Me;Bill Withers;4gRA0i5sxx3jAhHaVjPnUN;https://open.spotify.com/track/4gRA0i5sxx3jAhHaVjPnUN
October 5, 2024 at 03:14PM;Lean on Me;Bill Withers;3M8FzayQWtkvOhqMn2V4T2;https://open.spotify.com/track/3M8FzayQWtkvOhqMn2V4T2
October 5, 2024 at 03:18PM;Kissing My Love;Bill Withers;262qk9k0LTyMXmjH9YT2xU;https://open.spotify.com/track/262qk9k0LTyMXmjH9YT2xU
October 5, 2024 at 03:21PM;I Don't Know;Bill Withers;16h3GCdEJ9lgiOyox4LJQA;https://open.spotify.com/track/16h3GCdEJ9lgiOyox4LJQA
October 5, 2024 at 03:24PM;Blue Suede Shoes;Elvis Presley;47gmoUrZV3w20JAnQOZMcO;https://open.spotify.com/track/47gmoUrZV3w20JAnQOZMcO
October 5, 2024 at 03:26PM;I'm Counting on You;Elvis Presley;6ngIWHdwkmHZe8zFP7lIJq;https://open.spotify.com/track/6ngIWHdwkmHZe8zFP7lIJq
October 5, 2024 at 03:48PM;Edna;Henry Hall;1z5LSQ3dvrJbXPHCt3tCws;https://open.spotify.com/track/1z5LSQ3dvrJbXPHCt3tCws
October 5, 2024 at 03:49PM;I Got a Woman;Elvis Presley;2aAYLg4QVTOBVsP72lAyzE;https://open.spotify.com/track/2aAYLg4QVTOBVsP72lAyzE
October 5, 2024 at 03:50PM;Blue Suede Shoes;Elvis Presley;47gmoUrZV3w20JAnQOZMcO;https://open.spotify.com/track/47gmoUrZV3w20JAnQOZMcO
